"id"	"checksum"	"finished_at"	"migration_name"	"logs"	"rolled_back_at"	"started_at"	"applied_steps_count"
"8bc069b0-6f85-49b1-a04a-1e3b5e65bc09"	"b7de22fd1de9c59fb7302afbf40aa74cd18eb33eb7b58a1aab035d95095004ba"	"6/5/2024 12:21:33.929"	"20240429221400_category"			"6/5/2024 12:21:33.919"	"1"
"9114195c-c499-48b3-8788-c0b70a190636"	"9dd8cc391667ae4f207cf89ef305cbc7eab7f04f3db127e1576d973b47077996"	"6/5/2024 12:21:34.247"	"20240506052109_modify_spu_img"			"6/5/2024 12:21:34.212"	"1"
"94aa449a-7d3c-44ff-ade9-6ebb4a0be4dd"	"ab2b28c62de4abb4abb56c8121e060bdc4b80d73abbd42cd41dc14022051017d"	"7/5/2024 10:06:16.157"	"20240507100616_update_sku_attr_sku_sale_attr"			"7/5/2024 10:06:16.04"	"1"
"94f57567-5a7e-4031-b657-122979e37688"	"3e6cc10669cb42852f243ff5f5b64c6cfa6f24839462b6d108bcdf0230aa633f"	"6/5/2024 12:21:34.593"	"20240506121145_modify_spu"			"6/5/2024 12:21:34.57"	"1"
"ad243eef-9fe1-4d90-9bb8-9f83e3e537d2"	"cdeb29d9b8bec63da0542471ec2c7ff74f4c3d2f9867e050eaf2c4a05cd53672"	"8/5/2024 03:55:58.667"	"20240508035558_base_sale_attr"			"8/5/2024 03:55:58.655"	"1"
"aece34a3-227c-4e5d-85c8-656f37c24b2b"	"2776d6f5235f8df056f45b75a49273d0124d054435ed47b85443cf66e5928bd6"	"6/5/2024 12:21:34.343"	"20240506052221_modify_sale_attr_value"			"6/5/2024 12:21:34.292"	"1"
"b951febb-54ac-459d-962b-1a1e8557dd09"	"216c60daadb23ee5e22c9e9ddbfba7b66bdb83fadfd673d865576b3943719d3c"	"6/5/2024 12:21:34.049"	"20240506025655_spu"			"6/5/2024 12:21:34.037"	"1"
"bc283183-7f6d-4b54-807f-b598c5a269dc"	"73d07fcad746e0667a69486ef3d92c57c778a38341c76ae238041116e5532337"	"6/5/2024 12:21:34.491"	"20240506052634_modify_spu_img_sale_attr_sale_attr_value"			"6/5/2024 12:21:34.344"	"1"
"bd23f31a-cae0-4852-8741-8b64a73f9f75"	"c6da697fdc8b81120e71860b220ebe566af00e85de32bfeb9b340ae1e0e61c32"	"6/5/2024 12:21:34.211"	"20240506051921_modify_attr"			"6/5/2024 12:21:34.164"	"1"
"c3884a44-31e7-4a49-bd0a-10cfb7ed84ef"	"fed1c3f3bb14d30e2cf7d6441297120bdf31afccfb136b46a6583fe3d4e4e98a"	"6/5/2024 12:21:33.776"	"20240426002934_init"			"6/5/2024 12:21:33.743"	"1"
"c6c50e6c-879a-4d74-a132-dd064bad1e9e"	"b0a8704425f90cd20a07805357da10fdb783ba93f006f794101b18330947c62e"	"6/5/2024 12:21:34.569"	"20240506120614_modify_spu"			"6/5/2024 12:21:34.523"	"1"
"d0fbf383-ee01-46dd-990e-85f899b50dc2"	"95f679997ddbf0f1a4d777f793bbc051643887439756b0742b92ca5928d5cdb3"	"6/5/2024 12:21:34.036"	"20240430034031_update_category"			"6/5/2024 12:21:34.027"	"1"
"e5d399de-8f76-47a6-ad00-3233c5786c44"	"8ec71bf495d08ea661abefb6404ba1820a857dd0f892cf1296f6a53c2b261692"	"6/5/2024 12:21:33.907"	"20240428233605_menu"			"6/5/2024 12:21:33.826"	"1"
"e8f30d0a-9f1a-4bf4-93f0-2a0d09903771"	"b29df033328459c5fded54273261aeb946a1082248a1e427fea2e26f646d1825"	"7/5/2024 07:59:08.265"	"20240507075828_modify_spu"			"7/5/2024 07:59:08.249"	"1"
"eadee51b-be16-4071-abf9-c7a4b3dfc785"	"09ff759086a0e515dc96caac23743a599677d0636ae175905907308b68d62c8a"	"7/5/2024 08:52:48.037"	"20240507085247_sku_sku_attr_sku_sale_attr"			"7/5/2024 08:52:47.939"	"1"
"f2cbbb7c-0407-4f5f-a066-8e67bf736b3d"	"6263e743eb6c10b4afcc8fe54bff9ec84e78ac5636280e61dad273e96076b40d"	"6/5/2024 12:21:34.521"	"20240506100453_modify_spu_img"			"6/5/2024 12:21:34.492"	"1"
